freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.108e+03,8.067e+01,8.342e+01,4.272e+03
1.5,2.493e+04,2.822e+02,1.180e+02,2.533e+04
3.0,8.427e+03,2.953e+02,6.487e+01,8.787e+03
4.5,3.401e+03,2.591e+02,5.298e+01,3.714e+03
6.0,2.766e+03,2.365e+02,5.143e+01,3.054e+03
7.5,2.745e+03,1.895e+02,4.385e+01,2.978e+03
9.0,3.560e+03,1.954e+02,5.089e+01,3.806e+03
10.5,4.657e+03,1.746e+02,5.541e+01,4.887e+03
12.0,5.906e+03,1.809e+02,4.903e+01,6.136e+03
13.5,7.267e+03,1.947e+02,5.297e+01,7.515e+03
15.0,9.173e+03,1.905e+02,8.328e+01,9.447e+03
16.5,1.125e+04,1.942e+02,9.375e+01,1.154e+04
18.0,1.365e+04,1.910e+02,1.083e+02,1.395e+04
19.5,1.627e+04,1.723e+02,1.075e+02,1.655e+04
21.0,1.986e+04,1.951e+02,1.196e+02,2.017e+04
22.5,2.433e+04,1.955e+02,1.509e+02,2.467e+04
23.9,2.986e+04,1.727e+02,1.929e+02,3.022e+04
25.4,3.550e+04,1.826e+02,2.133e+02,3.589e+04
26.9,4.275e+04,1.894e+02,3.058e+02,4.325e+04
28.4,5.031e+04,2.056e+02,5.183e+02,5.103e+04
29.9,5.978e+04,2.201e+02,1.060e+03,6.106e+04
31.4,7.206e+04,2.231e+02,2.151e+03,7.443e+04
32.9,9.132e+04,2.445e+02,4.603e+03,9.617e+04
34.4,1.159e+05,2.518e+02,8.673e+03,1.248e+05
35.9,1.512e+05,2.081e+02,1.457e+04,1.660e+05
37.4,1.958e+05,1.979e+02,2.191e+04,2.179e+05
38.9,2.616e+05,2.495e+02,3.251e+04,2.943e+05
40.4,3.412e+05,4.508e+02,4.555e+04,3.872e+05
41.9,4.790e+05,8.970e+02,6.640e+04,5.463e+05
43.4,6.786e+05,1.705e+03,7.873e+04,7.590e+05
44.9,1.031e+06,2.613e+03,7.388e+04,1.107e+06
46.4,1.486e+06,3.702e+03,6.291e+04,1.552e+06
47.9,2.047e+06,6.800e+03,5.525e+04,2.109e+06
49.4,2.291e+06,9.026e+03,5.531e+04,2.356e+06
50.9,1.971e+06,1.010e+04,5.646e+04,2.037e+06
52.4,1.363e+06,8.732e+03,5.010e+04,1.421e+06
53.9,9.579e+05,9.626e+03,4.008e+04,1.008e+06
55.4,6.507e+05,1.315e+04,3.811e+04,7.019e+05
56.9,4.359e+05,1.881e+04,3.288e+04,4.876e+05
58.4,3.571e+05,2.391e+04,2.402e+04,4.050e+05
59.9,4.755e+05,2.635e+04,1.683e+04,5.187e+05
61.4,6.131e+05,2.891e+04,1.842e+04,6.604e+05
62.9,5.922e+05,2.807e+04,2.412e+04,6.444e+05
64.4,4.849e+05,2.621e+04,2.530e+04,5.364e+05
65.9,3.754e+05,2.571e+04,2.486e+04,4.260e+05
67.4,3.106e+05,2.468e+04,2.464e+04,3.599e+05
68.8,2.424e+05,2.390e+04,2.385e+04,2.901e+05
70.3,1.940e+05,2.757e+04,3.105e+04,2.527e+05
71.8,1.666e+05,2.702e+04,3.669e+04,2.303e+05
73.3,1.458e+05,2.412e+04,3.735e+04,2.073e+05
74.8,1.356e+05,2.414e+04,3.862e+04,1.984e+05
76.3,1.423e+05,2.476e+04,4.149e+04,2.085e+05
77.8,1.654e+05,2.320e+04,4.564e+04,2.343e+05
79.3,1.967e+05,2.186e+04,4.527e+04,2.639e+05
80.8,2.142e+05,1.945e+04,4.115e+04,2.748e+05
82.3,2.153e+05,1.776e+04,3.707e+04,2.702e+05
83.8,2.052e+05,1.854e+04,3.379e+04,2.575e+05
85.3,1.863e+05,2.017e+04,3.247e+04,2.390e+05
86.8,1.650e+05,2.020e+04,3.424e+04,2.194e+05
88.3,1.583e+05,2.121e+04,3.737e+04,2.169e+05
89.8,1.729e+05,2.565e+04,4.542e+04,2.440e+05
91.3,2.367e+05,2.808e+04,5.538e+04,3.201e+05
