freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.759e+01,1.612e+02,4.857e+03,5.065e+03
1.5,1.030e+02,2.422e+02,2.467e+04,2.502e+04
3.0,9.358e+01,1.757e+02,8.000e+03,8.270e+03
4.5,9.124e+01,1.660e+02,3.375e+03,3.632e+03
6.0,7.773e+01,1.431e+02,3.035e+03,3.256e+03
7.5,7.137e+01,1.169e+02,2.697e+03,2.886e+03
9.0,6.667e+01,9.747e+01,3.437e+03,3.601e+03
10.5,6.878e+01,8.461e+01,4.707e+03,4.861e+03
12.0,7.447e+01,8.584e+01,6.276e+03,6.436e+03
13.5,6.749e+01,8.754e+01,8.087e+03,8.242e+03
15.0,7.793e+01,9.185e+01,1.074e+04,1.091e+04
16.5,8.726e+01,9.799e+01,1.379e+04,1.398e+04
17.9,9.756e+01,1.157e+02,1.763e+04,1.784e+04
19.4,1.121e+02,1.380e+02,2.287e+04,2.312e+04
20.9,1.177e+02,1.555e+02,3.078e+04,3.105e+04
22.4,1.559e+02,1.787e+02,4.077e+04,4.111e+04
23.9,1.958e+02,2.035e+02,5.390e+04,5.430e+04
25.4,2.426e+02,2.445e+02,7.022e+04,7.070e+04
26.9,2.766e+02,3.293e+02,9.891e+04,9.952e+04
28.4,3.821e+02,4.659e+02,1.409e+05,1.417e+05
29.9,5.372e+02,7.854e+02,2.112e+05,2.126e+05
31.4,8.199e+02,1.203e+03,3.202e+05,3.223e+05
32.9,1.443e+03,1.742e+03,5.050e+05,5.082e+05
34.4,2.865e+03,2.395e+03,7.925e+05,7.977e+05
35.9,5.297e+03,3.714e+03,1.345e+06,1.354e+06
37.4,7.722e+03,5.340e+03,2.170e+06,2.183e+06
38.9,9.894e+03,6.004e+03,2.977e+06,2.993e+06
40.4,9.283e+03,4.929e+03,2.959e+06,2.973e+06
41.9,9.259e+03,4.615e+03,2.479e+06,2.493e+06
43.4,1.054e+04,1.226e+04,2.007e+06,2.030e+06
44.9,1.317e+04,4.770e+04,1.658e+06,1.719e+06
46.4,1.362e+04,1.461e+05,1.120e+06,1.280e+06
47.9,1.181e+04,2.216e+05,5.930e+05,8.264e+05
49.4,2.362e+04,1.958e+05,3.704e+05,5.898e+05
50.9,3.293e+04,1.602e+05,2.998e+05,4.930e+05
52.3,2.046e+04,1.328e+05,2.538e+05,4.071e+05
53.8,1.114e+04,1.044e+05,2.335e+05,3.491e+05
55.3,9.291e+03,8.300e+04,2.261e+05,3.184e+05
56.8,8.773e+03,6.955e+04,2.287e+05,3.070e+05
58.3,9.371e+03,6.299e+04,2.330e+05,3.053e+05
59.8,1.307e+04,6.328e+04,2.423e+05,3.186e+05
61.3,1.484e+04,6.494e+04,2.500e+05,3.298e+05
62.8,1.552e+04,6.598e+04,2.478e+05,3.293e+05
64.3,1.252e+04,7.215e+04,2.372e+05,3.218e+05
65.8,1.250e+04,8.393e+04,2.330e+05,3.294e+05
67.3,1.211e+04,1.067e+05,2.504e+05,3.692e+05
68.8,1.121e+04,1.403e+05,2.860e+05,4.375e+05
70.3,1.170e+04,1.801e+05,3.348e+05,5.266e+05
71.8,1.194e+04,2.206e+05,3.835e+05,6.160e+05
73.3,1.381e+04,2.957e+05,4.483e+05,7.578e+05
74.8,1.793e+04,3.429e+05,4.783e+05,8.391e+05
76.3,1.752e+04,3.522e+05,4.610e+05,8.308e+05
77.8,1.762e+04,3.583e+05,4.489e+05,8.249e+05
79.3,1.672e+04,3.176e+05,3.768e+05,7.111e+05
80.8,1.670e+04,2.765e+05,3.141e+05,6.073e+05
82.3,1.815e+04,2.253e+05,2.413e+05,4.848e+05
83.8,2.650e+04,1.978e+05,2.004e+05,4.248e+05
85.3,3.562e+04,1.823e+05,1.755e+05,3.935e+05
86.7,3.698e+04,1.569e+05,1.380e+05,3.319e+05
88.2,4.533e+04,1.351e+05,1.124e+05,2.928e+05
89.7,6.085e+04,1.235e+05,1.035e+05,2.879e+05
91.2,6.684e+04,1.023e+05,8.591e+04,2.550e+05
92.7,6.699e+04,8.968e+04,8.035e+04,2.370e+05
94.2,5.253e+04,7.356e+04,7.045e+04,1.965e+05
95.7,3.739e+04,7.069e+04,7.246e+04,1.805e+05
97.2,2.288e+04,6.411e+04,5.615e+04,1.431e+05
98.7,1.922e+04,5.387e+04,3.606e+04,1.092e+05
100.2,1.843e+04,4.717e+04,2.708e+04,9.268e+04
101.7,1.906e+04,4.104e+04,1.767e+04,7.777e+04
103.2,1.912e+04,3.499e+04,1.130e+04,6.541e+04
104.7,2.029e+04,3.199e+04,7.685e+03,5.997e+04
106.2,1.674e+04,3.124e+04,6.642e+03,5.462e+04
107.7,1.771e+04,2.999e+04,6.367e+03,5.407e+04
109.2,1.776e+04,2.787e+04,5.531e+03,5.116e+04
110.7,2.037e+04,2.701e+04,5.025e+03,5.240e+04
112.2,2.316e+04,2.420e+04,5.240e+03,5.260e+04
113.7,2.095e+04,2.105e+04,8.370e+03,5.038e+04
115.2,1.947e+04,1.698e+04,9.700e+03,4.614e+04
116.7,2.394e+04,1.375e+04,1.050e+04,4.820e+04
118.2,3.087e+04,1.151e+04,1.343e+04,5.581e+04
119.7,2.759e+04,8.570e+03,1.395e+04,5.011e+04
121.1,2.705e+04,8.248e+03,1.684e+04,5.214e+04
122.6,2.985e+04,7.076e+03,1.777e+04,5.470e+04
124.1,3.724e+04,6.875e+03,1.943e+04,6.355e+04
125.6,5.014e+04,6.451e+03,2.082e+04,7.741e+04
127.1,5.261e+04,5.836e+03,2.094e+04,7.938e+04
128.6,4.741e+04,5.124e+03,2.200e+04,7.453e+04
130.1,5.513e+04,5.097e+03,2.185e+04,8.207e+04
131.6,6.750e+04,6.300e+03,2.212e+04,9.592e+04
133.1,6.575e+04,5.873e+03,1.413e+04,8.576e+04
134.6,7.748e+04,6.739e+03,9.115e+03,9.334e+04
136.1,7.155e+04,9.181e+03,7.551e+03,8.828e+04
137.6,8.145e+04,1.372e+04,7.736e+03,1.029e+05
139.1,7.429e+04,2.228e+04,9.543e+03,1.061e+05
140.6,6.838e+04,2.188e+04,9.114e+03,9.937e+04
142.1,5.186e+04,2.061e+04,8.514e+03,8.099e+04
143.6,5.822e+04,2.110e+04,1.023e+04,8.954e+04
145.1,5.091e+04,1.135e+04,7.884e+03,7.015e+04
146.6,4.290e+04,7.991e+03,9.845e+03,6.074e+04
148.1,5.368e+04,6.732e+03,1.175e+04,7.216e+04
149.6,4.827e+04,5.673e+03,8.777e+03,6.272e+04
151.1,5.438e+04,6.921e+03,1.111e+04,7.242e+04
152.6,4.364e+04,5.448e+03,9.753e+03,5.884e+04
154.1,3.626e+04,6.102e+03,9.712e+03,5.208e+04
155.5,3.751e+04,6.343e+03,8.018e+03,5.187e+04
157.0,5.531e+04,6.505e+03,1.016e+04,7.197e+04
158.5,4.571e+04,7.152e+03,1.032e+04,6.318e+04
160.0,4.166e+04,8.512e+03,1.109e+04,6.126e+04
161.5,4.458e+04,9.788e+03,1.310e+04,6.746e+04
163.0,4.416e+04,1.155e+04,1.291e+04,6.863e+04
164.5,6.038e+04,1.510e+04,1.829e+04,9.377e+04
166.0,5.745e+04,1.214e+04,1.708e+04,8.667e+04
167.5,6.667e+04,2.026e+04,2.245e+04,1.094e+05
169.0,7.752e+04,2.359e+04,2.866e+04,1.298e+05
170.5,6.388e+04,2.345e+04,2.312e+04,1.104e+05
172.0,6.801e+04,3.968e+04,3.562e+04,1.433e+05
173.5,7.050e+04,3.908e+04,3.297e+04,1.426e+05
175.0,7.637e+04,4.544e+04,3.595e+04,1.578e+05
176.5,8.918e+04,7.176e+04,4.699e+04,2.079e+05
178.0,7.508e+04,5.190e+04,3.694e+04,1.639e+05
179.5,9.758e+04,8.888e+04,4.793e+04,2.344e+05
181.0,1.142e+05,1.184e+05,6.785e+04,3.004e+05
182.5,8.354e+04,8.786e+04,4.383e+04,2.152e+05
