freq,psd_x,psd_y,psd_z,psd_xyz,zv(56.8),mzv(57.0),ei(69.4),2hump_ei(84.8),3hump_ei(102.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,1.756e-12,2.157e-15,2.660e-15,1.761e-12,0.995,0.993,0.993,0.991,0.990
3.1,2.959e-01,8.352e-04,1.203e-03,2.980e-01,0.989,0.985,0.983,0.980,0.977
4.6,1.968e+01,1.243e-01,2.085e-01,2.002e+01,0.981,0.974,0.971,0.965,0.962
6.1,9.881e+01,6.495e-01,9.657e-01,1.004e+02,0.972,0.961,0.957,0.949,0.944
7.6,1.763e+02,1.273e+00,1.797e+00,1.794e+02,0.960,0.946,0.941,0.930,0.924
9.2,3.366e+02,1.785e+00,2.487e+00,3.409e+02,0.947,0.928,0.922,0.909,0.901
10.7,4.020e+02,1.888e+00,2.458e+00,4.064e+02,0.933,0.909,0.902,0.886,0.876
12.2,4.654e+02,1.782e+00,2.005e+00,4.691e+02,0.917,0.888,0.880,0.861,0.850
13.8,5.028e+02,1.557e+00,2.043e+00,5.064e+02,0.899,0.866,0.855,0.834,0.821
15.3,5.728e+02,1.425e+00,2.083e+00,5.763e+02,0.880,0.842,0.830,0.805,0.791
16.8,6.386e+02,1.217e+00,2.217e+00,6.421e+02,0.860,0.816,0.802,0.775,0.760
18.3,7.162e+02,1.120e+00,2.627e+00,7.199e+02,0.838,0.789,0.774,0.743,0.727
19.9,8.059e+02,1.055e+00,2.639e+00,8.096e+02,0.815,0.760,0.744,0.711,0.693
21.4,9.129e+02,1.119e+00,2.168e+00,9.162e+02,0.790,0.730,0.713,0.677,0.658
22.9,1.005e+03,1.090e+00,1.611e+00,1.008e+03,0.765,0.699,0.681,0.643,0.623
24.5,1.147e+03,1.024e+00,1.656e+00,1.150e+03,0.738,0.668,0.648,0.608,0.587
26.0,1.269e+03,9.289e-01,2.144e+00,1.272e+03,0.710,0.635,0.615,0.573,0.551
27.5,1.388e+03,9.185e-01,2.043e+00,1.391e+03,0.681,0.602,0.581,0.538,0.515
29.1,1.581e+03,9.338e-01,2.141e+00,1.585e+03,0.651,0.568,0.547,0.502,0.480
30.6,1.739e+03,1.129e+00,2.668e+00,1.743e+03,0.619,0.534,0.512,0.467,0.444
32.1,2.065e+03,1.421e+00,3.110e+00,2.069e+03,0.587,0.499,0.477,0.432,0.409
33.6,2.309e+03,1.714e+00,3.463e+00,2.314e+03,0.555,0.464,0.443,0.397,0.375
35.2,2.664e+03,2.020e+00,4.367e+00,2.670e+03,0.521,0.429,0.409,0.364,0.342
36.7,3.111e+03,2.520e+00,4.461e+00,3.118e+03,0.487,0.395,0.375,0.331,0.309
38.2,3.544e+03,3.422e+00,5.832e+00,3.553e+03,0.452,0.360,0.342,0.299,0.278
39.8,4.262e+03,4.360e+00,9.004e+00,4.275e+03,0.417,0.326,0.310,0.268,0.248
41.3,4.829e+03,5.548e+00,1.158e+01,4.846e+03,0.381,0.293,0.278,0.238,0.220
42.8,6.091e+03,8.370e+00,1.773e+01,6.117e+03,0.344,0.260,0.247,0.210,0.193
44.3,7.491e+03,1.266e+01,2.556e+01,7.529e+03,0.308,0.227,0.218,0.183,0.168
45.9,9.542e+03,2.115e+01,3.621e+01,9.599e+03,0.271,0.196,0.189,0.158,0.145
47.4,1.286e+04,4.176e+01,7.035e+01,1.297e+04,0.234,0.166,0.163,0.134,0.123
48.9,1.684e+04,9.341e+01,1.442e+02,1.707e+04,0.196,0.136,0.137,0.112,0.104
50.5,2.580e+04,2.872e+02,4.178e+02,2.650e+04,0.159,0.108,0.113,0.092,0.086
52.0,3.653e+04,7.298e+02,9.437e+02,3.820e+04,0.123,0.082,0.091,0.074,0.071
53.5,5.387e+04,1.184e+03,1.352e+03,5.640e+04,0.094,0.058,0.071,0.059,0.058
55.0,6.403e+04,1.076e+03,1.162e+03,6.626e+04,0.072,0.043,0.053,0.046,0.049
56.6,5.958e+04,6.004e+02,6.266e+02,6.081e+04,0.062,0.035,0.038,0.036,0.042
58.1,5.372e+04,3.291e+02,4.113e+02,5.446e+04,0.068,0.036,0.026,0.029,0.038
59.6,3.809e+04,1.672e+02,3.870e+02,3.864e+04,0.087,0.044,0.020,0.027,0.037
61.2,2.929e+04,1.022e+02,3.572e+02,2.975e+04,0.112,0.056,0.021,0.029,0.037
62.7,2.116e+04,5.750e+01,2.604e+02,2.148e+04,0.146,0.071,0.026,0.031,0.038
64.2,1.522e+04,3.332e+01,1.832e+02,1.544e+04,0.181,0.085,0.032,0.034,0.039
65.7,1.164e+04,3.239e+01,1.483e+02,1.182e+04,0.215,0.098,0.036,0.036,0.040
67.3,8.674e+03,3.777e+01,1.131e+02,8.825e+03,0.249,0.108,0.039,0.038,0.040
68.8,6.733e+03,4.203e+01,6.981e+01,6.845e+03,0.283,0.117,0.040,0.038,0.039
