freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.490e+00,8.143e+00,2.875e+02,3.031e+02
1.5,1.532e+01,1.839e+01,1.865e+02,2.202e+02
3.0,1.427e+01,1.892e+01,3.322e+01,6.641e+01
4.5,1.489e+01,2.022e+01,2.808e+02,3.159e+02
6.0,1.590e+01,2.392e+01,1.152e+03,1.192e+03
7.5,1.550e+01,2.490e+01,2.044e+03,2.084e+03
9.0,1.715e+01,2.780e+01,3.171e+03,3.216e+03
10.5,1.995e+01,2.942e+01,4.291e+03,4.341e+03
12.0,2.303e+01,3.365e+01,5.712e+03,5.769e+03
13.5,2.770e+01,4.219e+01,7.864e+03,7.934e+03
15.0,3.323e+01,5.060e+01,1.036e+04,1.044e+04
16.5,3.609e+01,5.130e+01,1.328e+04,1.336e+04
18.0,5.157e+01,6.387e+01,1.698e+04,1.709e+04
19.5,9.285e+01,1.113e+02,2.064e+04,2.084e+04
20.9,1.168e+02,1.398e+02,2.334e+04,2.360e+04
22.4,1.174e+02,1.909e+02,2.965e+04,2.996e+04
23.9,9.823e+01,2.877e+02,3.944e+04,3.982e+04
25.4,1.042e+02,4.244e+02,5.317e+04,5.370e+04
26.9,1.334e+02,5.532e+02,6.160e+04,6.229e+04
28.4,1.279e+02,6.426e+02,5.927e+04,6.004e+04
29.9,8.067e+01,5.193e+02,5.262e+04,5.322e+04
31.4,4.821e+01,3.527e+02,5.958e+04,5.998e+04
32.9,5.752e+01,3.501e+02,8.793e+04,8.834e+04
34.4,1.279e+02,4.126e+02,1.250e+05,1.255e+05
35.9,2.248e+02,5.630e+02,1.718e+05,1.726e+05
37.4,2.528e+02,7.693e+02,2.360e+05,2.370e+05
38.9,4.340e+02,1.045e+03,3.126e+05,3.141e+05
40.4,8.698e+02,1.396e+03,3.724e+05,3.746e+05
41.9,1.655e+03,1.736e+03,4.037e+05,4.071e+05
43.4,2.095e+03,2.098e+03,4.385e+05,4.427e+05
44.9,1.365e+03,2.431e+03,4.754e+05,4.792e+05
46.4,1.464e+03,2.260e+03,4.269e+05,4.306e+05
47.9,3.023e+03,1.826e+03,3.389e+05,3.437e+05
49.4,6.172e+03,1.737e+03,2.743e+05,2.822e+05
50.9,9.945e+03,1.965e+03,2.403e+05,2.522e+05
52.4,1.466e+04,1.917e+03,2.109e+05,2.275e+05
53.9,1.669e+04,1.540e+03,1.857e+05,2.040e+05
