freq,psd_x,psd_y,psd_z,psd_xyz,zv(47.8),mzv(47.6),ei(58.2),2hump_ei(71.0),3hump_ei(85.2)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,1.375e-15,5.086e-15,1.513e-12,1.519e-12,0.994,0.992,0.991,0.989,0.988
3.1,5.840e-04,9.270e-04,2.880e-01,2.895e-01,0.986,0.981,0.979,0.974,0.972
4.6,8.437e-02,1.202e-01,1.956e+01,1.976e+01,0.976,0.966,0.963,0.956,0.952
6.1,4.617e-01,5.904e-01,9.635e+01,9.741e+01,0.963,0.949,0.945,0.935,0.928
7.6,9.876e-01,1.312e+00,1.964e+02,1.987e+02,0.948,0.929,0.923,0.910,0.902
9.2,1.299e+00,1.889e+00,3.305e+02,3.337e+02,0.931,0.906,0.899,0.882,0.872
10.7,1.198e+00,2.176e+00,4.373e+02,4.407e+02,0.912,0.880,0.872,0.851,0.839
12.2,1.112e+00,2.122e+00,4.973e+02,5.005e+02,0.890,0.852,0.842,0.818,0.804
13.7,1.103e+00,2.307e+00,5.529e+02,5.563e+02,0.867,0.822,0.810,0.783,0.767
15.3,1.023e+00,2.267e+00,6.457e+02,6.490e+02,0.841,0.790,0.777,0.746,0.728
16.8,9.688e-01,2.059e+00,7.430e+02,7.460e+02,0.814,0.756,0.741,0.707,0.688
18.3,9.446e-01,2.215e+00,8.426e+02,8.458e+02,0.784,0.720,0.704,0.667,0.646
19.8,9.759e-01,2.399e+00,9.793e+02,9.826e+02,0.754,0.682,0.666,0.626,0.604
21.4,8.830e-01,2.782e+00,1.160e+03,1.163e+03,0.721,0.644,0.626,0.584,0.561
22.9,8.875e-01,3.403e+00,1.362e+03,1.366e+03,0.687,0.604,0.586,0.542,0.518
24.4,9.725e-01,4.188e+00,1.598e+03,1.603e+03,0.651,0.564,0.545,0.499,0.475
25.9,9.716e-01,5.026e+00,1.865e+03,1.871e+03,0.614,0.522,0.504,0.457,0.433
27.5,9.422e-01,5.999e+00,2.242e+03,2.249e+03,0.576,0.481,0.463,0.416,0.392
29.0,1.093e+00,7.884e+00,2.726e+03,2.735e+03,0.537,0.439,0.422,0.375,0.351
30.5,1.363e+00,1.077e+01,3.239e+03,3.251e+03,0.496,0.398,0.382,0.336,0.312
32.1,1.498e+00,1.487e+01,4.050e+03,4.066e+03,0.455,0.357,0.342,0.297,0.275
33.6,1.609e+00,1.915e+01,5.043e+03,5.064e+03,0.413,0.316,0.303,0.261,0.240
35.1,2.167e+00,2.854e+01,6.699e+03,6.730e+03,0.370,0.276,0.266,0.226,0.207
36.6,3.314e+00,4.413e+01,8.797e+03,8.844e+03,0.327,0.237,0.230,0.193,0.176
38.2,5.843e+00,6.604e+01,1.224e+04,1.232e+04,0.283,0.199,0.196,0.162,0.147
39.7,1.190e+01,9.607e+01,1.764e+04,1.775e+04,0.239,0.163,0.164,0.134,0.122
41.2,3.014e+01,1.574e+02,2.778e+04,2.797e+04,0.195,0.128,0.134,0.108,0.099
42.7,8.063e+01,2.703e+02,4.735e+04,4.770e+04,0.152,0.096,0.106,0.085,0.079
44.3,1.857e+02,4.112e+02,7.686e+04,7.745e+04,0.110,0.065,0.080,0.065,0.062
45.8,2.951e+02,4.645e+02,1.017e+05,1.025e+05,0.080,0.045,0.058,0.048,0.050
47.3,2.891e+02,3.515e+02,9.957e+04,1.002e+05,0.063,0.035,0.039,0.036,0.042
48.8,2.204e+02,1.852e+02,8.130e+04,8.170e+04,0.068,0.038,0.025,0.029,0.038
50.4,1.577e+02,1.597e+02,6.072e+04,6.104e+04,0.091,0.049,0.020,0.028,0.037
51.9,1.026e+02,3.149e+02,4.325e+04,4.367e+04,0.123,0.066,0.023,0.030,0.038
53.4,5.697e+01,6.665e+02,3.169e+04,3.241e+04,0.164,0.083,0.030,0.033,0.039
55.0,2.446e+01,1.038e+03,2.239e+04,2.345e+04,0.205,0.098,0.035,0.036,0.040
56.5,2.344e+01,1.082e+03,1.656e+04,1.766e+04,0.245,0.110,0.039,0.038,0.040
58.0,4.475e+01,9.062e+02,1.331e+04,1.426e+04,0.285,0.120,0.040,0.038,0.039
59.5,7.623e+01,6.913e+02,1.123e+04,1.200e+04,0.324,0.127,0.038,0.037,0.037
61.1,1.021e+02,5.607e+02,9.849e+03,1.051e+04,0.362,0.132,0.034,0.035,0.034
62.6,1.068e+02,4.998e+02,8.562e+03,9.169e+03,0.398,0.133,0.031,0.032,0.031
64.1,8.632e+01,5.518e+02,7.506e+03,8.144e+03,0.434,0.133,0.029,0.028,0.027
65.6,5.135e+01,5.917e+02,6.492e+03,7.135e+03,0.468,0.129,0.028,0.023,0.022
67.2,2.456e+01,6.007e+02,5.870e+03,6.496e+03,0.500,0.123,0.031,0.017,0.018
68.7,1.984e+01,6.023e+02,5.398e+03,6.020e+03,0.531,0.115,0.038,0.013,0.014
70.2,2.340e+01,6.451e+02,5.176e+03,5.844e+03,0.561,0.104,0.048,0.011,0.012
71.7,2.363e+01,7.349e+02,5.180e+03,5.939e+03,0.589,0.096,0.064,0.011,0.012
73.3,2.042e+01,8.165e+02,5.112e+03,5.949e+03,0.615,0.090,0.085,0.013,0.014
74.8,1.685e+01,9.092e+02,5.018e+03,5.944e+03,0.639,0.085,0.108,0.017,0.017
76.3,1.369e+01,1.044e+03,5.059e+03,6.116e+03,0.662,0.082,0.133,0.021,0.020
77.8,1.256e+01,1.279e+03,5.359e+03,6.650e+03,0.683,0.080,0.158,0.025,0.023
79.4,1.171e+01,1.577e+03,5.707e+03,7.296e+03,0.702,0.082,0.185,0.029,0.026
80.9,1.184e+01,2.040e+03,6.314e+03,8.366e+03,0.719,0.088,0.212,0.031,0.028
82.4,1.426e+01,2.838e+03,7.400e+03,1.025e+04,0.734,0.097,0.239,0.032,0.029
84.0,1.809e+01,3.965e+03,8.636e+03,1.262e+04,0.747,0.109,0.267,0.031,0.030
85.5,2.351e+01,5.683e+03,1.018e+04,1.589e+04,0.758,0.123,0.295,0.030,0.030
87.0,2.815e+01,7.643e+03,1.109e+04,1.876e+04,0.767,0.138,0.323,0.027,0.029
88.5,4.447e+01,8.865e+03,1.030e+04,1.921e+04,0.775,0.166,0.351,0.027,0.027
90.1,6.933e+01,7.921e+03,7.405e+03,1.540e+04,0.780,0.195,0.378,0.027,0.025
91.6,8.255e+01,5.850e+03,4.319e+03,1.025e+04,0.783,0.224,0.404,0.028,0.022
93.1,1.003e+02,4.033e+03,2.307e+03,6.440e+03,0.784,0.254,0.429,0.030,0.018
94.6,1.030e+02,2.794e+03,1.223e+03,4.120e+03,0.783,0.283,0.454,0.033,0.015
96.2,1.230e+02,2.047e+03,6.629e+02,2.833e+03,0.781,0.312,0.477,0.038,0.013
97.7,1.295e+02,1.465e+03,3.610e+02,1.955e+03,0.776,0.341,0.498,0.045,0.012
99.2,1.406e+02,1.093e+03,2.143e+02,1.448e+03,0.769,0.369,0.519,0.056,0.012
100.7,1.699e+02,8.802e+02,1.583e+02,1.208e+03,0.761,0.396,0.537,0.073,0.012
102.3,1.883e+02,7.494e+02,1.266e+02,1.064e+03,0.751,0.422,0.554,0.092,0.013
103.8,2.254e+02,6.441e+02,1.027e+02,9.721e+02,0.739,0.447,0.569,0.111,0.014
105.3,2.276e+02,5.879e+02,7.565e+01,8.911e+02,0.725,0.471,0.581,0.131,0.016
106.9,1.974e+02,5.085e+02,4.416e+01,7.500e+02,0.709,0.494,0.592,0.152,0.020
108.4,1.616e+02,4.304e+02,2.937e+01,6.214e+02,0.692,0.515,0.601,0.174,0.022
109.9,1.407e+02,3.807e+02,2.885e+01,5.503e+02,0.673,0.534,0.607,0.196,0.024
111.4,1.014e+02,3.104e+02,4.051e+01,4.523e+02,0.653,0.552,0.612,0.218,0.025
113.0,6.039e+01,2.520e+02,6.403e+01,3.764e+02,0.632,0.568,0.614,0.240,0.025
114.5,4.078e+01,2.117e+02,9.544e+01,3.480e+02,0.609,0.582,0.614,0.263,0.024
116.0,3.218e+01,1.573e+02,1.304e+02,3.198e+02,0.585,0.595,0.612,0.285,0.023
